5,خوب خود کالا که مشخص هست .بسیار بزرگ و عالی و برای پسرم تهیه کردم برای درس خواندن.از قبل هم pen داشت.در بلک فرایدی با تخفیف 2.5 میلیون خریدم .پارسال هم یه آیپد ۱۱ از دیجی خریدم اون هم خوب بود ولی خب برای pdf خوندن و دو صفحه باز کردن کوچک بود .با ارسال سریع چند ساعته و بی دردسر به دستم رسید.امیدوارم شرایط بهتر بشه و دوستانی که دوست دارن ،بتونن خریداری کنن.
5,عالیه فقط گرونه با سختی خریدمش حافطه. اش عالی برا بازی و طراحی و.....  از لحاظ سخت افزاری هم عالیه
5,بسار عالی برای طراحی
5,فوق العاده و با کیفیت من برای دیجیتال آرت گرفتم و راضیم 
3,کسی پول داره همچین کالایی بخره
5,عالی
