5,راضی هستم به گوشی میاد
5,حس متفاوت
4,خوبه خوشگل ، و مقاوم
5,برای یکی از دوستام گرفتم که خیلی راضی بود و مهم برام رضایت اون بود. 
4,خوب بود خیلی سبک بود 
5,گوشی رو خوب مراقبت میکنه با پشت شیشه یی کاور جذابیه
5,خیلی قاب خوب و زیبایی هست گوشی رو کامل کاور میکنه خیلی ظاهر شیک و زیبایی به گوشی میده و همچنین جنس خوبی داره پشت قاب شیشه ای هست و گوشی رو خوش دسته میسازه ابعادش هم بسیار عالیه و شباهتش هم با عکس سایت یکیه. من قبلا رنگ سفید شو خرید کردم بودم و جنسش انقدر خوب بود و الان هم رنگ مشکیشو خریدم. و خیلی هم راضی ام توصیه میکنم و عکساشو هم میزارم.
5,"سلام واقعا بهترین گاردیه که تا حالا برای گوشی خریدم خیلی زیبااا و فیت و خوش دست بخاطر شیشه بودن پشتش که به گوشی خیلی نمای خوب میده  کیفیت ساخت هم بالاست و محافظت از لنز دوربین هم داره. توصیه میکنم."
5,زیبایی و کیفیت ساخت خوبی داره. محافظت خوبی از گوشی و لنز های دوربین داره واقعا کاور خیلی قشنگی هستش جنسش خیلی خوبه پشت کاور شیشه ای هست و به گوشی خلوه خوبی بر خورد دار است سایزش هم کاملا فیت گوشیه و هم عکسش با عکس سایت یکیه واقعا از خریدم راضی ام .پیشنهاد میکنم.
