5,این رو حدود 3 ماه میشه خریدم واقعا کاور راضی کننده ست خیلی شیک و جذاب ظاهری قشنگی داره و هم محافظت همه جانبه از گوشی کیفیت ساختش هم بالاست و قیمتش هم مناسب و سایز هم با گوشی کاملا فیت شد . و شباهتش هم با عکس سایت یکیه. خرید شو توصیه میکنم.
5,کاور بسیار زیبا و قشنگیه بسیار محکم و بادوام محافظت از لنز دوربین و لبه های گوشی ضد خط و خش و اثر انگشت هم روش نمیمونه ظاهری قشنگی داره پیشنهاد میکنم.
4,کاور های خوبی هستن و فرم خوبی به گوشی میدن
1,در مقایسه با کاورهای دیگه واقعا ارزش خرید نداره و پلاستیک جوری طرحی شده که زود خط و خش برمیداره و جای دست روش می مونه 
5,خیلی کاور همه چی تمومیه چون اصلا رنگش نمیره اصلا هم کثیف نمیشه. از دور تا دور گوشی محافظت میکنه نمیزاره گوشی در معرض ضربه قرار بگیره  من از این کاور راضی هستم و این کاور رو پیشنهاد میکنم مرسی از دیجیکالا.
5,خوبه من خوشم اومد
5,بخرید ضرر نمیکنید
5,واقعا توصیه میکنم بخریدش.خیلی قاب خوشگل و خوبیه.
5,خوب
5,ارزش خرید داره
2,از این برند قبلاً گرفته بودم خوب بود ولی این سری اصلاً فیت گوشی نبود احتمالاً تقلبی بود مرجوع کردم
4,very good
5,کاور خوبیه و خوش دست هم هست
5,جنس ش معمولیه
3,اونی که توعکس هست نبود کاور معمولی قیمت ۲۵ تومن براش خوبه بیشتر ارزش ندارد
2,گلس نداشت
5,عالی و بسیار خوب و زیبا
5,خوش،دست و زیبا 
4,بیرون خیلی گرونتر میدن 
1,رنگ سبز تیره سفارش داده بودم یه رنگ سبز مسخره‌ی دخترونه‌ی به درد نخور برای من ارسال شده
